4100.0, 0.0, -2196.0; 4100.0, 0.0, -4200.0
4100.0, 0.0, -4200.0; 800.0, 0.0, -4200.0
1600.0, 0.0, -4200.0; 1600.0, 0.0, -3200.0
2000.0, 0.0, -2600.0; 4400.0, 0.0, -2600.0
2700.0, 0.0, -4200.0; 2700.0, 0.0, -8700.0
2300.0, 0.0, -6000.0; 3400.0, 0.0, -6000.0
3400.0, 0.0, -5700.0; 3400.0, 0.0, -8700.0
3100.0, 0.0, -6000.0; 3100.0, 0.0, -8700.0
3400.0, 0.0, -5400.0; 2300.0, 0.0, -5400.0
2300.0, 0.0, -5400.0; 2300.0, 0.0, -8700.0
2300.0, 0.0, -8700.0; 2700.0, 0.0, -8700.0
3400.0, 0.0, -8700.0; 3100.0, 0.0, -8700.0
3400.0, 0.0, -8400.0; 3100.0, 0.0, -8400.0
3400.0, 0.0, -7900.0; 3100.0, 0.0, -7900.0
3400.0, 0.0, -7400.0; 3100.0, 0.0, -7400.0
3400.0, 0.0, -6900.0; 3100.0, 0.0, -6900.0
3400.0, 0.0, -6400.0; 3100.0, 0.0, -6400.0
2300.0, 0.0, -8100.0; 2700.0, 0.0, -8100.0
2300.0, 0.0, -7400.0; 2700.0, 0.0, -7400.0
2300.0, 0.0, -6800.0; 2700.0, 0.0, -6800.0
4400.0, 0.0, -3800.0; 1600.0, 0.0, -3800.0
4400.0, 0.0, -3600.0; 900.0, 0.0, -3600.0
4400.0, 0.0, -3200.0; 900.0, 0.0, -3200.0
4400.0, 0.0, -2900.0; 2000.0, 0.0, -2900.0
1600.0, 0.0, -4000.0; 800.0, 0.0, -4000.0
800.0, 0.0, -4000.0; 800.0, 0.0, -4500.0
800.0, 0.0, -4500.0; 1000.0, 0.0, -4500.0
1000.0, 0.0, -4500.0; 1000.0, 0.0, -4000.0
2900.0, 0.0, -6000.0; 2900.0, 0.0, -4200.0
3300.0, 0.0, -3800.0; 3300.0, 0.0, -3600.0
2500.0, 0.0, -3800.0; 2500.0, 0.0, -3600.0
2000.0, 0.0, -3800.0; 2000.0, 0.0, -2600.0
3300.0, 0.0, -2900.0; 3300.0, 0.0, -3200.0
2500.0, 0.0, -3200.0; 2500.0, 0.0, -2900.0
4100.0, 0.0, -4200.0; 4400.0, 0.0, -4200.0
4400.0, 0.0, -4200.0; 4400.0, 0.0, -2193.0
2300.0, 0.0, -5700.0; 3400.0, 0.0, -5700.0
4100.0, 0.0, -2196.0; 4544.5, 0.0, -2196.0
